"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Connor McDavid",EDM,"C1","1","2","1.2","0.4","+1"
"2","Nathan MacKinnon",COL,"C2","1","3","2.0","0.6","-1"
"3","Nikita Kucherov",TB,"RW1","3","4","3.2","0.4","+3"
"4","Leon Draisaitl",EDM,"C3","2","4","3.6","0.8","-1"
"5","Kirill Kaprizov",MIN,"LW1","5","7","6.2","0.8","+4"
"6","David Pastrnak",BOS,"RW2","5","9","6.6","1.6","+2"
"7","Auston Matthews",TOR,"C4","5","10","7.2","1.7","-2"
"8","Cale Makar",COL,"D1","5","11","7.8","2.3","-4"
"9","Mikko Rantanen",DAL,"RW3","8","12","9.0","1.6","+3"
"10","Brady Tkachuk",OTT,"LW2","9","15","12.0","2.2","0"
"11","Connor Hellebuyck",WPG,"G1","7","19","12.2","4.0","-4"
"12","William Nylander",TOR,"RW4","9","17","13.2","2.7","-1"
"13","Kyle Connor",WPG,"LW3","9","16","13.2","2.4","+2"
"14","Jack Eichel",VGK,"C5","10","20","14.4","3.2","+2"
"15","Jack Hughes",NJ,"C6","10","24","15.4","5.0","+2"
"16","Mitch Marner",VGK,"RW5","11","20","16.0","3.5","+10"
"17","Artemi Panarin",LA,"LW4","15","23","17.4","3.0","+3"
"18","Quinn Hughes",MIN,"D2","12","30","19.2","7.0","+1"
"19","Brayden Point",TB,"C7","18","25","20.4","2.5","+3"
"20","Sam Reinhart",FLA,"C8","17","24","20.8","2.3","+3"
"21","Filip Forsberg",NSH,"LW5","14","28","23.0","4.9","-3"
"22","Sidney Crosby",PIT,"C9","17","26","23.8","3.4","+11"
"23","Jake Guentzel",TB,"C10","21","27","23.8","2.7","+7"
"24","Zach Werenski",CBJ,"D3","18","36","26.0","6.9","+1"
"25","Jason Robertson",DAL,"LW6","18","37","26.6","6.7","+12"
"26","Andrei Vasilevskiy",TB,"G2","16","43","28.0","10.0","-12"
""
"27","Evan Bouchard",EDM,"D4","22","49","30.6","9.8","-3"
