lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84815468482142,2025,York-Drysdale,PHI,pairing,5on5,6,5280.0,12.0,0.46,0.38,0.39,33.76,3.05,2.27,8.82,1.13,18.05,12.68,2.89,3.01,2.86,34.0,12.0,11.0,57.0,3.0,4.0,0.0,7.0,0.0,15.0,17.0,31.0,43.0,4.0,8.0,40.0,66.0,5.0,18.0,35.0,6.0,5.0,1.01,0.84,1.2,2.0,1.0,0.0,56.77,46.0,45.93,9.0,0.48,0.8,0.8,2.72,2.72,2.67,51.45,3.65,3.41,13.63,1.82,28.81,20.69,3.59,3.77,3.71,36.0,36.0,23.0,95.0,3.0,3.0,0.0,9.0,0.0,29.0,28.0,33.0,69.0,2.0,4.0,45.0,54.0,6.0,22.0,60.0,10.0,2.0,1.93,1.29,0.43,2.0,1.0,0.0,96.57,72.0,73.36,10.0,0.71,0.4,0.4,3.96,4.08,4.04
847516884800278482145,2025,Robertson-Bourque-Duchene,DAL,line,5on5,5,3595.0,8.0,0.62,0.55,0.56,30.66,2.29,2.05,8.14,1.07,16.98,12.47,2.23,2.27,2.21,26.0,17.0,13.0,56.0,2.0,5.0,0.0,10.0,0.0,8.0,18.0,24.0,41.0,6.0,12.0,28.0,22.0,4.0,14.0,34.0,8.0,1.0,1.06,1.0,0.23,2.0,0.0,0.0,55.94,43.0,43.11,5.0,0.43,0.54,0.54,2.18,2.16,2.11,24.66,1.42,1.49,6.1,0.83,13.53,10.63,1.38,1.38,1.34,25.0,9.0,12.0,46.0,0.0,2.0,0.0,2.0,0.0,21.0,9.0,25.0,34.0,3.0,6.0,32.0,40.0,3.0,13.0,27.0,6.0,1.0,0.49,0.71,0.23,0.0,0.0,0.0,46.15,34.0,33.91,5.0,0.3,0.29,0.29,1.43,1.4,1.36
84745638479998,2025,Anderson-Doughty,LAK,pairing,5on5,4,4189.0,4.0,0.48,0.45,0.39,27.51,2.5,1.66,6.94,0.87,13.06,9.97,2.35,2.4,2.25,24.0,11.0,28.0,63.0,0.0,3.0,0.0,6.0,0.0,14.0,12.0,24.0,35.0,5.0,10.0,36.0,49.0,5.0,18.0,26.0,4.0,5.0,0.62,0.46,1.41,0.0,0.0,0.0,60.14,35.0,33.52,11.0,0.35,0.82,0.82,2.03,1.91,1.89,38.59,2.66,2.57,10.83,1.29,21.36,15.3,2.6,2.68,2.62,32.0,22.0,24.0,78.0,2.0,3.0,1.0,9.0,1.0,23.0,16.0,30.0,52.0,4.0,8.0,42.0,41.0,8.0,20.0,46.0,6.0,2.0,1.35,0.67,0.63,1.0,0.0,1.0,80.97,54.0,55.64,12.0,0.54,0.82,0.82,2.37,2.44,2.42
847795684784018482177,2025,Khusnutdinov-Zacha-Pastrnak,BOS,line,5on5,1,973.0,1.0,0.79,0.65,0.67,12.03,1.08,0.88,2.76,0.39,6.34,4.54,1.06,1.13,1.1,10.0,6.0,4.0,20.0,1.0,3.0,0.0,1.0,0.0,3.0,8.0,9.0,15.0,0.0,0.0,9.0,11.0,2.0,6.0,11.0,4.0,1.0,0.4,0.44,0.25,0.0,1.0,0.0,20.31,16.0,16.16,2.0,0.18,0.36,0.36,0.91,0.95,0.94,5.49,0.29,0.37,1.38,0.2,3.35,2.42,0.29,0.28,0.28,3.0,5.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,8.0,0.0,0.0,11.0,9.0,1.0,5.0,6.0,2.0,0.0,0.09,0.21,0.0,0.0,0.0,0.0,10.89,8.0,7.97,1.0,0.08,0.0,0.0,0.37,0.36,0.36
848022084837318484387,2025,Bump-Cates-Michkov,PHI,line,5on5,1,647.0,4.0,0.35,0.28,0.29,5.23,0.71,0.3,1.22,0.16,2.73,1.88,0.69,0.68,0.66,6.0,1.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,6.0,0.0,0.0,3.0,9.0,2.0,3.0,5.0,1.0,1.0,0.19,0.12,0.4,1.0,0.0,0.0,6.85,7.0,6.87,2.0,0.06,0.4,0.4,0.37,0.35,0.35,12.27,1.32,0.85,2.62,0.41,6.89,4.9,1.24,1.39,1.3,9.0,8.0,1.0,18.0,0.0,3.0,0.0,2.0,0.0,9.0,3.0,9.0,17.0,0.0,0.0,6.0,4.0,1.0,2.0,12.0,4.0,1.0,0.41,0.46,0.46,0.0,0.0,0.0,18.58,17.0,17.52,1.0,0.18,0.7,0.7,0.8,0.84,0.83
84775078479369,2025,Zadorov-Peeke,BOS,pairing,5on5,5,4183.0,5.0,0.6,0.47,0.49,39.59,3.35,2.54,10.69,1.38,20.9,15.14,3.24,3.41,3.29,37.0,17.0,19.0,73.0,3.0,6.0,1.0,7.0,0.0,23.0,15.0,34.0,51.0,14.0,31.0,41.0,58.0,7.0,13.0,41.0,9.0,4.0,0.99,1.4,0.96,1.0,2.0,0.0,71.96,54.0,53.54,8.0,0.53,0.97,0.97,2.91,2.92,2.88,39.2,2.27,2.55,10.37,1.39,23.19,16.23,2.23,2.27,2.23,34.0,22.0,26.0,82.0,2.0,1.0,0.0,11.0,0.0,25.0,17.0,32.0,54.0,11.0,22.0,33.0,38.0,1.0,16.0,50.0,6.0,0.0,1.54,0.73,0.0,2.0,0.0,0.0,82.49,56.0,56.1,7.0,0.53,0.18,0.18,2.62,2.61,2.57
847840284784588483512,2025,Mcdavid-Roslovic-Savoie,EDM,line,5on5,3,613.0,31.0,0.25,0.39,0.35,4.94,0.24,0.26,1.2,0.16,2.93,2.22,0.24,0.26,0.26,3.0,4.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,7.0,0.0,0.0,2.0,2.0,0.0,5.0,7.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,9.24,7.0,7.28,3.0,0.05,0.0,0.0,0.29,0.31,0.31,9.02,0.74,0.56,2.55,0.37,5.01,3.77,0.7,0.7,0.66,6.0,7.0,1.0,14.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,4.0,11.0,1.0,2.0,4.0,6.0,0.0,5.0,11.0,0.0,2.0,0.33,0.0,0.41,1.0,0.0,1.0,13.2,13.0,12.26,2.0,0.11,0.44,0.44,0.41,0.38,0.37
847351284815288482092,2025,Greig-Giroux-Cozens,OTT,line,5on5,2,825.0,9.0,0.36,0.44,0.43,6.51,0.4,0.47,1.77,0.22,3.65,2.49,0.39,0.42,0.41,4.0,5.0,6.0,15.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,8.0,0.0,0.0,12.0,10.0,2.0,4.0,8.0,1.0,0.0,0.27,0.13,0.0,1.0,0.0,0.0,15.36,9.0,9.16,3.0,0.1,0.0,0.0,0.5,0.52,0.51,8.38,0.73,0.42,2.44,0.33,4.77,3.32,0.69,0.7,0.66,6.0,6.0,7.0,19.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,6.0,12.0,0.0,0.0,5.0,3.0,2.0,4.0,10.0,1.0,1.0,0.24,0.08,0.41,0.0,0.0,0.0,18.49,12.0,11.71,4.0,0.09,0.43,0.43,0.38,0.36,0.35
847687384774788480762,2025,Robinson-Jankowski-Carrier,CAR,line,5on5,3,1380.0,12.0,0.57,0.5,0.5,9.62,0.71,0.65,2.76,0.39,5.54,3.94,0.7,0.74,0.72,5.0,9.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,9.0,3.0,5.0,14.0,0.0,0.0,13.0,32.0,1.0,5.0,13.0,1.0,0.0,0.51,0.2,0.0,0.0,0.0,0.0,21.26,14.0,14.31,1.0,0.14,0.23,0.23,0.62,0.63,0.62,9.6,0.54,0.65,2.84,0.42,5.33,4.23,0.52,0.54,0.52,9.0,5.0,7.0,21.0,0.0,2.0,0.0,1.0,0.0,6.0,5.0,9.0,14.0,3.0,6.0,15.0,24.0,1.0,3.0,12.0,1.0,1.0,0.22,0.09,0.23,0.0,0.0,0.0,20.77,14.0,13.72,2.0,0.13,0.25,0.25,0.42,0.42,0.42
84779488481546,2025,Sanheim-York,PHI,pairing,5on5,6,840.0,28.0,0.61,0.3,0.33,4.96,0.69,0.24,1.31,0.14,1.95,1.67,0.68,0.69,0.68,5.0,1.0,2.0,8.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,6.0,5.0,10.0,4.0,12.0,0.0,4.0,4.0,0.0,2.0,0.09,0.0,0.6,0.0,0.0,0.0,8.05,6.0,5.9,0.0,0.05,0.35,0.35,0.39,0.42,0.42,8.18,0.45,0.47,2.51,0.3,4.83,3.44,0.44,0.44,0.43,6.0,6.0,7.0,19.0,0.0,1.0,0.0,6.0,0.0,4.0,1.0,6.0,12.0,6.0,12.0,2.0,3.0,1.0,1.0,11.0,1.0,0.0,0.3,0.15,0.0,0.0,0.0,0.0,19.04,12.0,11.97,0.0,0.1,0.03,0.03,0.51,0.5,0.5
