teamCode,avg_goalie_prediction,avg_record_prediction,avg_fancy_prediction,avg_overall_prediction,min_goalie_prediction,max_goalie_prediction,min_overall_prediction,max_overall_prediction,worst_goalie_player_id,best_goalie_player_id,worst_goalie_name,best_goalie_name
COL,0.5226,0.54225,0.56531,0.58099,0.5083,0.5349,0.5667,0.5933,8478406,8475809,Blackwood,Wedgewood
CAR,0.48591,0.54269,0.61711,0.5807,0.45868,0.50742,0.55346,0.6022,8481611,8475883,Kochetkov,Andersen
VGK,0.48466,0.50917,0.60214,0.55891,0.47308,0.50095,0.54733,0.5752,8481033,8478499,Schmid,Hill
BUF,0.50968,0.54409,0.54942,0.5575,0.49345,0.51926,0.54126,0.56708,8481551,8479312,Ellis,Lyon
MIN,0.51212,0.51744,0.55463,0.55559,0.49278,0.52554,0.53625,0.56901,8482661,8479406,Wallstedt,Gustavsson
DAL,0.52116,0.53449,0.52094,0.54617,0.51921,0.52474,0.54421,0.54974,8479979,8479193,Oettinger,DeSmith
BOS,0.51694,0.52059,0.53213,0.54561,0.48848,0.53276,0.51714,0.56142,8476914,8480280,Korpisalo,Swayman
OTT,0.49837,0.53066,0.55186,0.54388,0.49749,0.49859,0.54299,0.54409,8473503,8476999,Reimer,Ullmark
TBL,0.513,0.53903,0.52404,0.54154,0.45418,0.53879,0.48272,0.56733,8477992,8476883,Johansson,Vasilevskiy
WSH,0.53214,0.51063,0.49119,0.52916,0.48118,0.55091,0.4782,0.54793,8479292,8480313,Lindgren,Thompson
DET,0.50656,0.50917,0.51635,0.52075,0.49979,0.51042,0.51398,0.52462,8475660,8476434,Talbot,Gibson
CBJ,0.502,0.5135,0.52091,0.52068,0.45638,0.52782,0.47507,0.5465,8478007,8482982,Merzlikins,Greaves
MTL,0.51663,0.53066,0.49178,0.52007,0.49301,0.53252,0.49645,0.53596,8478470,8482487,Montembeault,Dobes
WPG,0.51326,0.50595,0.50408,0.51791,0.47813,0.52769,0.48278,0.53233,8477480,8476945,Comrie,Hellebuyck
UTA,0.48445,0.51052,0.53932,0.51513,0.42779,0.50272,0.45847,0.53341,8477970,8478872,Vanecek,Vejmelka
EDM,0.4718,0.50917,0.5573,0.51466,0.46961,0.47422,0.51247,0.51708,8477465,8478971,Jarry,Ingram
NJD,0.4993,0.47797,0.52511,0.51027,0.49585,0.51547,0.50682,0.52644,8474593,8482076,Markstrom,Daws
NYI,0.51212,0.50867,0.48757,0.50602,0.47508,0.53201,0.46898,0.52592,8479496,8478009,Rittich,Sorokin
PIT,0.47891,0.52305,0.52829,0.50563,0.46031,0.49364,0.48703,0.52035,8481668,8479973,Silovs,Skinner
NYR,0.53481,0.44604,0.47979,0.50448,0.49364,0.55431,0.4633,0.52398,8471734,8478048,Quick,Shesterkin
LAK,0.50914,0.50348,0.48638,0.50065,0.50622,0.51117,0.49773,0.50268,8476341,8475311,Forsberg,Kuemper
PHI,0.47451,0.50917,0.53229,0.49986,0.43288,0.50062,0.45824,0.52598,8481035,8478435,Ersson,Vladar
NSH,0.49629,0.50595,0.47188,0.47839,0.49604,0.49641,0.47814,0.47851,8481020,8477424,Annunen,Saros
STL,0.51314,0.5091,0.44549,0.47772,0.4833,0.54027,0.44788,0.50485,8476412,8480981,Binnington,Hofer
ANA,0.48602,0.47162,0.49897,0.47679,0.45783,0.49934,0.4486,0.49011,8475852,8480843,Mrazek,Dostal
FLA,0.49735,0.45246,0.47808,0.46775,0.45981,0.51974,0.43021,0.49013,8480193,8475683,Tarasov,Bobrovsky
SEA,0.50401,0.47019,0.4533,0.46238,0.4869,0.52442,0.44526,0.48279,8483668,8476899,Kokko,Murray
TOR,0.50031,0.44774,0.40426,0.41761,0.48109,0.51424,0.39839,0.43154,8482515,8476932,Akhtyamov,Stolarz
CHI,0.49483,0.43965,0.40511,0.41031,0.46113,0.51137,0.3766,0.42685,8482821,8481519,Soderblom,Knight
SJS,0.45636,0.48602,0.43247,0.4049,0.43204,0.4858,0.38058,0.43434,8482137,8477968,Askarov,Nedeljkovic
CGY,0.491,0.45398,0.36951,0.38585,0.47395,0.52124,0.3688,0.41609,8481692,8482445,Wolf,Cooley
VAN,0.45945,0.42466,0.38675,0.35757,0.42253,0.49894,0.32065,0.39706,8484268,8477967,Tolopilo,Demko
