scenerio,teamCode,firstSimulatedId,madePlayoffs,round2,round3,round4,wonCup,firstOverall,points,wonDivision,draftLottery,wildcard1Odds,wildcard2Odds,divisionPlace2Odds,divisionPlace3Odds,round1Winin4,round1Winin5,round1Winin6,round1Winin7,round1Lossin4,round1Lossin5,round1Lossin6,round1Lossin7,round2Winin4,round2Winin5,round2Winin6,round2Winin7,round2Lossin4,round2Lossin5,round2Lossin6,round2Lossin7,round3Winin4,round3Winin5,round3Winin6,round3Winin7,round3Lossin4,round3Lossin5,round3Lossin6,round3Lossin7,round4Winin4,round4Winin5,round4Winin6,round4Winin7,round4Lossin4,round4Lossin5,round4Lossin6,round4Lossin7
ALL,TBL,2019020005,0.7378,0.384,0.195,0.101,0.052,0.091,99.0,0.274,0.013,0.064,0.056,0.193,0.151,0.052,0.097,0.121,0.113,0.045,0.09,0.109,0.11,0.027,0.049,0.06,0.059,0.023,0.048,0.058,0.06,0.014,0.025,0.031,0.031,0.011,0.024,0.029,0.029,0.007,0.013,0.016,0.017,0.006,0.012,0.016,0.015
WINREG,TBL,2019020005,0.7506,0.387,0.197,0.103,0.054,0.099,99.5,0.288,0.012,0.063,0.055,0.195,0.149,0.053,0.099,0.121,0.115,0.046,0.092,0.113,0.112,0.027,0.049,0.061,0.06,0.024,0.048,0.058,0.061,0.014,0.026,0.032,0.032,0.012,0.024,0.029,0.029,0.007,0.013,0.017,0.017,0.006,0.012,0.015,0.016
LOSSOT,TBL,2019020005,0.7296,0.388,0.2,0.098,0.049,0.086,98.8,0.263,0.013,0.066,0.057,0.197,0.147,0.055,0.101,0.119,0.113,0.047,0.086,0.104,0.104,0.028,0.051,0.066,0.055,0.02,0.056,0.058,0.054,0.014,0.023,0.032,0.03,0.012,0.029,0.032,0.028,0.006,0.012,0.014,0.017,0.006,0.013,0.018,0.012
WINOT,TBL,2019020005,0.763,0.396,0.191,0.095,0.049,0.098,99.8,0.286,0.011,0.064,0.056,0.198,0.159,0.054,0.095,0.135,0.112,0.045,0.095,0.111,0.115,0.025,0.051,0.056,0.058,0.025,0.052,0.063,0.065,0.016,0.022,0.029,0.028,0.01,0.028,0.031,0.027,0.007,0.011,0.017,0.014,0.005,0.011,0.016,0.014
LOSSREG,TBL,2019020005,0.7017,0.369,0.189,0.101,0.051,0.07,97.6,0.239,0.015,0.066,0.058,0.186,0.153,0.049,0.094,0.118,0.109,0.04,0.084,0.101,0.107,0.026,0.046,0.057,0.06,0.022,0.043,0.056,0.059,0.013,0.026,0.032,0.031,0.011,0.021,0.027,0.029,0.007,0.013,0.015,0.016,0.008,0.011,0.017,0.014
ALL,VGK,2019020004,0.7099,0.365,0.185,0.095,0.047,0.063,97.3,0.224,0.015,0.076,0.069,0.189,0.151,0.048,0.098,0.107,0.112,0.045,0.088,0.107,0.104,0.024,0.047,0.056,0.059,0.022,0.045,0.056,0.057,0.013,0.024,0.03,0.029,0.011,0.023,0.028,0.028,0.006,0.012,0.015,0.014,0.006,0.012,0.016,0.015
WINREG,VGK,2019020004,0.7327,0.38,0.192,0.098,0.047,0.072,98.1,0.247,0.014,0.074,0.066,0.192,0.153,0.051,0.102,0.108,0.118,0.046,0.093,0.106,0.107,0.024,0.05,0.059,0.06,0.024,0.048,0.058,0.057,0.013,0.025,0.031,0.029,0.011,0.025,0.029,0.029,0.006,0.011,0.016,0.014,0.006,0.012,0.017,0.016
LOSSOT,VGK,2019020004,0.7,0.355,0.184,0.097,0.053,0.058,97.1,0.215,0.016,0.081,0.076,0.182,0.146,0.047,0.099,0.102,0.107,0.043,0.081,0.118,0.103,0.023,0.047,0.053,0.061,0.02,0.042,0.054,0.055,0.011,0.024,0.032,0.029,0.01,0.021,0.028,0.028,0.006,0.014,0.017,0.016,0.007,0.009,0.016,0.012
WINOT,VGK,2019020004,0.7269,0.37,0.191,0.093,0.047,0.071,98.1,0.24,0.014,0.071,0.066,0.197,0.153,0.047,0.097,0.114,0.112,0.051,0.091,0.106,0.108,0.024,0.049,0.058,0.06,0.02,0.046,0.055,0.058,0.013,0.019,0.034,0.026,0.013,0.022,0.033,0.031,0.006,0.012,0.014,0.015,0.003,0.01,0.017,0.016
LOSSREG,VGK,2019020004,0.6772,0.348,0.174,0.091,0.044,0.051,96.1,0.191,0.018,0.079,0.073,0.184,0.15,0.045,0.092,0.105,0.106,0.043,0.084,0.104,0.098,0.023,0.043,0.053,0.056,0.021,0.042,0.054,0.058,0.013,0.023,0.028,0.028,0.01,0.021,0.025,0.026,0.006,0.013,0.013,0.012,0.006,0.013,0.014,0.015
ALL,SJS,2019020004,0.7083,0.364,0.187,0.094,0.047,0.063,97.4,0.22,0.016,0.078,0.068,0.186,0.156,0.047,0.096,0.111,0.11,0.045,0.087,0.107,0.104,0.024,0.049,0.056,0.058,0.022,0.044,0.057,0.054,0.013,0.023,0.03,0.029,0.012,0.024,0.028,0.028,0.007,0.012,0.015,0.014,0.006,0.012,0.015,0.014
WINREG,SJS,2019020004,0.7373,0.378,0.194,0.097,0.049,0.073,98.4,0.249,0.013,0.075,0.068,0.19,0.155,0.049,0.101,0.111,0.117,0.049,0.092,0.111,0.108,0.025,0.052,0.058,0.06,0.023,0.044,0.062,0.055,0.014,0.023,0.031,0.029,0.012,0.025,0.028,0.031,0.007,0.013,0.016,0.014,0.006,0.011,0.016,0.015
LOSSOT,SJS,2019020004,0.7048,0.36,0.186,0.098,0.048,0.064,97.3,0.215,0.016,0.084,0.068,0.181,0.157,0.048,0.094,0.109,0.109,0.043,0.083,0.11,0.108,0.026,0.049,0.059,0.053,0.021,0.043,0.059,0.052,0.014,0.023,0.031,0.029,0.012,0.027,0.025,0.024,0.006,0.014,0.013,0.016,0.006,0.016,0.014,0.014
WINOT,SJS,2019020004,0.7395,0.383,0.193,0.095,0.046,0.071,98.6,0.24,0.013,0.078,0.059,0.206,0.156,0.047,0.099,0.116,0.121,0.051,0.089,0.113,0.103,0.023,0.05,0.059,0.06,0.022,0.048,0.055,0.064,0.014,0.023,0.03,0.029,0.013,0.024,0.03,0.032,0.006,0.012,0.015,0.014,0.005,0.013,0.015,0.016
LOSSREG,SJS,2019020004,0.6789,0.349,0.18,0.091,0.045,0.052,96.3,0.195,0.018,0.08,0.07,0.178,0.156,0.045,0.092,0.109,0.103,0.042,0.084,0.102,0.101,0.022,0.047,0.053,0.057,0.021,0.044,0.053,0.052,0.011,0.023,0.029,0.028,0.011,0.023,0.028,0.027,0.007,0.012,0.014,0.013,0.007,0.011,0.015,0.014
ALL,STL,2019020002,0.7025,0.366,0.188,0.095,0.048,0.057,96.6,0.238,0.017,0.057,0.053,0.194,0.16,0.047,0.096,0.11,0.114,0.042,0.084,0.107,0.103,0.023,0.05,0.058,0.057,0.022,0.045,0.056,0.055,0.012,0.023,0.03,0.03,0.012,0.024,0.028,0.029,0.006,0.013,0.015,0.014,0.006,0.011,0.015,0.015
WINREG,STL,2019020002,0.7229,0.377,0.191,0.096,0.048,0.065,97.4,0.252,0.015,0.059,0.053,0.202,0.156,0.049,0.1,0.113,0.116,0.043,0.088,0.109,0.106,0.024,0.052,0.058,0.058,0.023,0.047,0.059,0.057,0.013,0.022,0.03,0.031,0.013,0.025,0.029,0.028,0.006,0.013,0.015,0.015,0.006,0.012,0.016,0.015
LOSSOT,STL,2019020002,0.691,0.353,0.187,0.093,0.05,0.05,96.3,0.229,0.017,0.056,0.051,0.188,0.166,0.044,0.088,0.105,0.116,0.045,0.079,0.11,0.103,0.023,0.047,0.064,0.053,0.02,0.04,0.055,0.051,0.012,0.023,0.032,0.027,0.012,0.023,0.028,0.031,0.005,0.015,0.016,0.013,0.006,0.01,0.014,0.014
WINOT,STL,2019020002,0.7146,0.365,0.184,0.097,0.049,0.064,97.2,0.255,0.016,0.055,0.051,0.188,0.165,0.044,0.096,0.113,0.111,0.048,0.086,0.11,0.106,0.023,0.05,0.06,0.051,0.023,0.045,0.058,0.055,0.012,0.024,0.033,0.028,0.012,0.024,0.025,0.026,0.005,0.014,0.015,0.015,0.005,0.013,0.015,0.015
LOSSREG,STL,2019020002,0.6709,0.354,0.184,0.093,0.047,0.045,95.4,0.213,0.019,0.055,0.055,0.186,0.162,0.045,0.093,0.106,0.11,0.038,0.077,0.104,0.097,0.022,0.047,0.056,0.059,0.021,0.044,0.052,0.053,0.011,0.024,0.028,0.029,0.011,0.023,0.028,0.03,0.006,0.012,0.015,0.014,0.007,0.011,0.013,0.014
ALL,CAR,2019020008,0.6452,0.332,0.17,0.084,0.042,0.059,96.0,0.208,0.019,0.064,0.06,0.167,0.146,0.043,0.087,0.102,0.1,0.04,0.078,0.1,0.096,0.021,0.045,0.051,0.052,0.021,0.04,0.05,0.051,0.011,0.021,0.027,0.025,0.011,0.022,0.026,0.027,0.006,0.01,0.013,0.013,0.005,0.011,0.013,0.013
WINREG,CAR,2019020008,0.6742,0.341,0.175,0.086,0.043,0.067,96.8,0.222,0.017,0.066,0.061,0.172,0.153,0.044,0.089,0.103,0.104,0.042,0.084,0.105,0.102,0.022,0.047,0.053,0.053,0.021,0.041,0.052,0.052,0.011,0.021,0.028,0.025,0.012,0.023,0.027,0.028,0.006,0.01,0.014,0.013,0.005,0.011,0.013,0.013
LOSSOT,CAR,2019020008,0.62,0.321,0.159,0.079,0.039,0.054,95.4,0.195,0.021,0.063,0.057,0.167,0.138,0.04,0.087,0.099,0.096,0.041,0.071,0.099,0.088,0.02,0.043,0.048,0.048,0.018,0.036,0.052,0.055,0.01,0.019,0.025,0.025,0.011,0.017,0.027,0.025,0.006,0.01,0.014,0.01,0.006,0.011,0.011,0.011
WINOT,CAR,2019020008,0.6626,0.344,0.18,0.086,0.044,0.069,96.7,0.225,0.018,0.065,0.056,0.173,0.143,0.043,0.098,0.106,0.097,0.038,0.08,0.101,0.1,0.024,0.045,0.054,0.057,0.022,0.042,0.048,0.052,0.011,0.022,0.027,0.025,0.011,0.026,0.029,0.029,0.004,0.013,0.014,0.013,0.005,0.011,0.012,0.014
LOSSREG,CAR,2019020008,0.6058,0.317,0.163,0.084,0.042,0.046,94.6,0.185,0.023,0.061,0.061,0.159,0.14,0.041,0.081,0.099,0.095,0.038,0.072,0.091,0.087,0.02,0.043,0.049,0.051,0.021,0.038,0.047,0.047,0.01,0.021,0.027,0.025,0.009,0.019,0.024,0.027,0.006,0.011,0.012,0.013,0.005,0.011,0.012,0.014
ALL,CGY,2019020011,0.6205,0.314,0.16,0.081,0.04,0.046,94.6,0.168,0.023,0.08,0.073,0.154,0.146,0.042,0.082,0.095,0.095,0.039,0.077,0.095,0.095,0.022,0.04,0.05,0.048,0.019,0.039,0.049,0.047,0.01,0.021,0.025,0.025,0.01,0.02,0.024,0.024,0.005,0.01,0.013,0.012,0.005,0.01,0.012,0.013
WINREG,CGY,2019020011,0.6466,0.326,0.164,0.081,0.041,0.053,95.6,0.19,0.02,0.082,0.069,0.157,0.15,0.044,0.086,0.099,0.098,0.043,0.079,0.098,0.101,0.022,0.041,0.052,0.049,0.021,0.041,0.052,0.048,0.01,0.022,0.025,0.025,0.011,0.022,0.026,0.024,0.005,0.01,0.014,0.012,0.005,0.011,0.012,0.012
LOSSOT,CGY,2019020011,0.6108,0.305,0.159,0.086,0.042,0.041,94.4,0.154,0.023,0.076,0.077,0.156,0.148,0.039,0.08,0.097,0.088,0.037,0.077,0.097,0.094,0.019,0.04,0.052,0.047,0.019,0.039,0.046,0.041,0.014,0.023,0.025,0.024,0.009,0.019,0.022,0.023,0.003,0.012,0.013,0.013,0.006,0.01,0.013,0.015
WINOT,CGY,2019020011,0.6596,0.337,0.17,0.085,0.043,0.058,95.9,0.192,0.02,0.079,0.074,0.168,0.147,0.05,0.09,0.095,0.103,0.038,0.083,0.105,0.096,0.025,0.045,0.049,0.052,0.021,0.046,0.048,0.052,0.012,0.021,0.026,0.026,0.011,0.022,0.023,0.029,0.005,0.011,0.014,0.014,0.006,0.011,0.012,0.012
LOSSREG,CGY,2019020011,0.591,0.3,0.153,0.077,0.038,0.038,93.6,0.147,0.025,0.079,0.076,0.148,0.141,0.04,0.076,0.092,0.092,0.037,0.073,0.089,0.091,0.022,0.037,0.047,0.047,0.018,0.036,0.046,0.047,0.009,0.02,0.024,0.024,0.01,0.018,0.024,0.024,0.006,0.009,0.011,0.012,0.005,0.01,0.011,0.013
ALL,TOR,2019020001,0.6146,0.312,0.159,0.08,0.041,0.05,94.9,0.17,0.022,0.071,0.066,0.157,0.151,0.04,0.081,0.095,0.096,0.041,0.076,0.094,0.092,0.021,0.04,0.049,0.049,0.02,0.038,0.048,0.048,0.012,0.02,0.025,0.024,0.01,0.02,0.023,0.025,0.005,0.011,0.013,0.011,0.005,0.011,0.012,0.012
WINREG,TOR,2019020001,0.6329,0.318,0.16,0.081,0.041,0.054,95.4,0.181,0.02,0.071,0.065,0.163,0.154,0.04,0.085,0.096,0.098,0.043,0.078,0.099,0.094,0.021,0.041,0.05,0.048,0.02,0.039,0.049,0.05,0.012,0.02,0.025,0.023,0.011,0.02,0.023,0.026,0.005,0.011,0.013,0.012,0.005,0.011,0.012,0.012
LOSSOT,TOR,2019020001,0.602,0.307,0.162,0.084,0.044,0.044,94.5,0.159,0.023,0.077,0.065,0.153,0.148,0.043,0.076,0.088,0.099,0.038,0.075,0.089,0.093,0.024,0.038,0.05,0.05,0.021,0.037,0.043,0.045,0.013,0.024,0.021,0.025,0.009,0.02,0.025,0.024,0.006,0.012,0.013,0.013,0.004,0.011,0.011,0.014
WINOT,TOR,2019020001,0.6236,0.316,0.163,0.082,0.038,0.056,95.4,0.183,0.021,0.071,0.061,0.16,0.149,0.041,0.081,0.103,0.091,0.036,0.078,0.096,0.097,0.021,0.04,0.048,0.053,0.02,0.036,0.047,0.051,0.011,0.018,0.029,0.025,0.012,0.021,0.024,0.024,0.005,0.01,0.012,0.011,0.006,0.011,0.014,0.013
LOSSREG,TOR,2019020001,0.5745,0.299,0.153,0.077,0.04,0.041,93.5,0.144,0.025,0.07,0.071,0.144,0.145,0.039,0.076,0.092,0.093,0.037,0.069,0.082,0.087,0.02,0.04,0.045,0.048,0.02,0.037,0.047,0.043,0.01,0.018,0.024,0.025,0.009,0.019,0.023,0.024,0.006,0.012,0.013,0.01,0.005,0.01,0.013,0.01
